Objective Value,Order Count,Runtime (s),Status,Gap,Order Item Count,Driver Violation,Commute Distance,Transport Distance,Attachment Distance,Machine Count,Worker Count,Attachment Count
3.0,3.0,0.9470558166503906,2,0,80,66,6780.53238256101,1091.023471725983,0.0,2,9,3
5.0,5.0,2.5877580642700195,2,0,96,76,8439.127896245114,313.98969010129974,29.732137494637012,6,10,4
9.0,9.0,10.327811002731323,2,0,67,50,7464.4636730715665,2229.938437952274,13.416407864998739,5,12,8
