Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Machines,Workers,Transport Attachments,Attachments
8,90,1,8519.06,1495.52,6,9,0.0,6.0
8,90,1,8519.06,1495.52,6,9,74.15,5.0
8,90,2,8380.57,1562.8,6,9,0.0,6.0
8,90,2,8380.57,1562.8,6,9,74.15,5.0
8,90,3,8346.93,1637.23,6,10,0.0,6.0
8,90,3,8346.93,1637.23,6,10,74.15,5.0
8,90,3,8449.94,1452.89,6,9,0.0,6.0
8,90,3,8449.94,1452.89,6,9,74.15,5.0
8,90,5,8318.71,1637.23,6,10,0.0,6.0
8,90,5,8318.71,1637.23,6,10,74.15,5.0
8,90,9,8318.71,1637.21,6,10,0.0,6.0
8,90,9,8318.71,1637.21,6,10,74.15,5.0
8,90,14,9228.37,2370.74,5,9,0.0,6.0
8,90,14,9228.37,2370.74,5,9,74.15,5.0
8,90,16,8688.47,1983.4,5,11,0.0,6.0
8,90,16,8688.47,1983.4,5,11,74.15,5.0
8,90,18,8658.91,2124.42,5,11,0.0,6.0
8,90,18,8658.91,2124.42,5,11,74.15,5.0
8,90,25,7012.2,2345.06,6,8,0.0,6.0
8,90,25,7012.2,2345.06,6,8,74.15,5.0
8,90,28,6984.93,2345.06,6,8,0.0,6.0
8,90,28,6984.93,2345.06,6,8,74.15,5.0
8,90,29,6924.13,2345.06,6,8,0.0,6.0
8,90,29,6924.13,2345.06,6,8,74.15,5.0
8,90,30,6855.0,2345.06,6,8,0.0,6.0
8,90,30,6855.0,2345.06,6,8,74.15,5.0
8,90,30,8855.79,1911.01,5,11,0.0,6.0
8,90,30,8855.79,1911.01,5,11,74.15,5.0
8,90,31,8855.79,1851.37,5,11,0.0,6.0
8,90,31,8855.79,1851.37,5,11,74.15,5.0
8,90,32,8518.13,2007.07,5,10,0.0,6.0
8,90,32,8518.13,2007.07,5,10,74.15,5.0
8,90,32,8747.1,1851.37,5,11,0.0,6.0
8,90,32,8747.1,1851.37,5,11,74.15,5.0
8,90,34,5676.88,2402.58,6,10,0.0,6.0
8,90,34,5676.88,2402.58,6,10,74.15,5.0
8,90,34,9015.43,1903.67,5,10,0.0,6.0
8,90,34,9015.43,1903.67,5,10,74.15,5.0
8,90,35,5656.83,2402.58,6,10,0.0,6.0
8,90,35,5656.83,2402.58,6,10,74.15,5.0
8,90,35,6734.52,2345.06,6,8,0.0,6.0
8,90,35,6734.52,2345.06,6,8,74.15,5.0
8,90,35,8760.77,1800.7,5,11,0.0,6.0
8,90,35,8760.77,1800.7,5,11,74.15,5.0
8,90,35,8888.99,2005.58,5,10,0.0,6.0
8,90,35,8888.99,2005.58,5,10,74.15,5.0
8,90,35,8995.71,1241.93,4,11,0.0,6.0
8,90,35,8995.71,1241.93,4,11,74.15,5.0
8,90,36,5650.38,2402.58,6,10,0.0,6.0
8,90,36,5650.38,2402.58,6,10,74.15,5.0
8,90,36,6714.47,2345.06,6,8,0.0,6.0
8,90,36,6714.47,2345.06,6,8,74.15,5.0
8,90,36,7047.35,1224.03,6,10,0.0,6.0
8,90,36,7047.35,1224.03,6,10,74.15,5.0
8,90,36,7143.52,1658.53,6,9,0.0,6.0
8,90,36,7143.52,1658.53,6,9,74.15,5.0
8,90,36,8718.52,1966.24,5,10,0.0,6.0
8,90,36,8718.52,1966.24,5,10,74.15,5.0
8,90,36,8995.71,1219.11,4,11,0.0,6.0
8,90,36,8995.71,1219.11,4,11,74.15,5.0
8,90,37,6946.94,1117.1,6,10,0.0,6.0
8,90,37,6946.94,1117.1,6,10,74.15,5.0
8,90,37,7072.44,1658.53,6,9,0.0,6.0
8,90,37,7072.44,1658.53,6,9,74.15,5.0
8,90,37,7290.24,1113.42,6,10,0.0,6.0
8,90,37,7290.24,1113.42,6,10,74.15,5.0
8,90,37,8763.18,1775.01,5,11,0.0,6.0
8,90,37,8763.18,1775.01,5,11,74.15,5.0
8,90,37,8768.84,1711.77,5,10,0.0,6.0
8,90,37,8768.84,1711.77,5,10,74.15,5.0
8,90,38,5588.3,2402.58,6,11,0.0,6.0
8,90,38,5588.3,2402.58,6,11,74.15,5.0
8,90,38,5612.23,2402.58,6,10,0.0,6.0
8,90,38,5612.23,2402.58,6,10,74.15,5.0
8,90,38,6863.62,1740.73,6,9,0.0,6.0
8,90,38,6863.62,1740.73,6,9,74.15,5.0
8,90,38,6938.48,1117.1,6,11,0.0,6.0
8,90,38,6938.48,1117.1,6,11,74.15,5.0
8,90,38,6946.94,1108.07,6,10,0.0,6.0
8,90,38,6946.94,1108.07,6,10,74.15,5.0
8,90,38,6970.32,1149.3,5,10,0.0,6.0
8,90,38,6970.32,1149.3,5,10,74.15,5.0
8,90,38,6989.25,1071.81,5,10,0.0,6.0
8,90,38,6989.25,1071.81,5,10,74.15,5.0
8,90,38,7019.65,1496.29,6,9,0.0,6.0
8,90,38,7019.65,1496.29,6,9,74.15,5.0
8,90,38,7058.35,1061.8,5,10,0.0,6.0
8,90,38,7058.35,1061.8,5,10,74.15,5.0
8,90,38,7058.35,1061.8,5,10,0.0,6.0
8,90,38,7058.35,1061.8,5,10,74.15,5.0
8,90,38,7183.03,1051.4,6,9,0.0,6.0
8,90,38,7183.03,1051.4,6,9,74.15,5.0
8,90,38,7183.03,1051.4,6,9,0.0,6.0
8,90,38,7183.03,1051.4,6,9,74.15,5.0
8,90,38,7248.87,1252.41,6,8,0.0,6.0
8,90,38,7248.87,1252.41,6,8,74.15,5.0
8,90,38,7348.13,1173.67,6,8,0.0,6.0
8,90,38,7348.13,1173.67,6,8,74.15,5.0
8,90,39,5580.89,2402.58,6,10,0.0,6.0
8,90,39,5580.89,2402.58,6,10,74.15,5.0
8,90,39,6789.79,1314.47,5,10,0.0,6.0
8,90,39,6789.79,1314.47,5,10,74.15,5.0
8,90,39,6833.53,1253.74,5,10,0.0,6.0
8,90,39,6833.53,1253.74,5,10,74.15,5.0
8,90,39,6834.06,1254.43,5,9,0.0,6.0
8,90,39,6834.06,1254.43,5,9,74.15,5.0
8,90,39,6884.61,1201.85,6,10,0.0,6.0
8,90,39,6884.61,1201.85,6,10,74.15,5.0
8,90,39,6884.61,1201.85,6,10,0.0,6.0
8,90,39,6884.61,1201.85,6,10,74.15,5.0
8,90,39,6938.48,1098.68,6,11,0.0,6.0
8,90,39,6938.48,1098.68,6,11,74.15,5.0
8,90,39,6962.89,1149.3,5,9,0.0,6.0
8,90,39,6962.89,1149.3,5,9,74.15,5.0
8,90,39,6965.01,1132.11,5,10,0.0,6.0
8,90,39,6965.01,1132.11,5,10,74.15,5.0
8,90,39,6974.25,1071.81,5,10,0.0,6.0
8,90,39,6974.25,1071.81,5,10,74.15,5.0
8,90,39,6974.25,1071.81,5,10,0.0,6.0
8,90,39,6974.25,1071.81,5,10,74.15,5.0
