Solution ID,Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
90,145,1258,1197,470110.65,161980.45,17121.0,46,79,72
91,145,1258,1197,470145.71,162267.01,16727.35,46,79,73
92,145,1258,1197,470145.71,162267.01,16836.89,46,79,72
93,145,1258,1197,470242.17,162146.01,16807.05,46,79,73
94,145,1258,1197,470242.17,162245.77,16477.6,46,79,74
95,145,1258,1197,470497.71,167055.57,14759.87,46,79,67
96,145,1258,1197,470626.71,167040.82,14688.6,46,79,67
97,145,1258,1197,470689.15,161275.78,16165.65,46,79,75
98,145,1258,1197,470731.84,161275.78,16190.42,46,79,74
99,145,1258,1197,471013.65,165013.67,15186.22,46,79,68
100,145,1258,1197,471155.09,161818.47,15941.78,46,79,75
101,145,1258,1197,471276.14,164556.64,13003.64,46,79,72
102,145,1258,1197,471388.22,164699.67,12976.08,46,79,72
103,145,1258,1197,471424.09,161597.77,15941.78,46,79,75
104,145,1258,1197,471485.38,164342.1,13040.81,46,79,72
105,145,1258,1197,471581.9,164991.38,14952.56,46,79,69
106,145,1258,1197,471599.31,161452.31,15923.56,46,79,76
107,145,1258,1197,471736.3,162199.71,15687.32,46,79,76
108,145,1258,1197,471881.82,161791.61,15723.96,46,79,75
109,145,1258,1197,472183.7,162691.48,15556.15,46,79,76
110,145,1258,1197,472529.15,162094.22,15609.05,46,79,75
111,145,1258,1197,472529.15,162207.72,15590.34,46,79,75
112,145,1258,1197,472529.15,162332.98,15556.15,46,79,76
113,145,1258,1197,472529.15,162332.98,15560.99,46,79,75
114,145,1258,1197,472851.69,161790.7,15891.07,46,79,73
115,145,1258,1197,472851.69,161815.87,15877.8,46,79,74
116,145,1258,1197,473050.15,161790.7,15634.37,46,79,73
117,145,1258,1197,473465.45,161726.77,15634.37,46,79,73
118,145,1258,1197,474275.66,161664.09,15727.76,46,79,73
119,145,1258,1197,474275.66,161946.72,15732.32,46,79,72
120,145,1258,1197,474286.81,161554.27,16449.6,46,79,71
121,145,1258,1197,474327.82,161718.18,16411.07,46,79,71
122,145,1258,1197,474327.82,161718.18,16701.39,46,79,70
123,145,1258,1197,474613.82,161946.72,15688.96,46,79,72
124,145,1258,1197,474620.93,160682.02,14799.85,46,79,74
125,145,1258,1197,474620.93,160978.05,14805.27,46,79,73
126,145,1258,1197,474657.19,161946.72,15688.47,46,79,72
127,145,1258,1197,474716.56,161500.66,16617.91,46,79,71
128,145,1258,1197,474716.56,161505.32,16007.51,46,79,72
129,145,1258,1197,474716.56,161505.32,16336.96,46,79,71
130,145,1258,1197,474810.27,161100.62,16240.36,46,79,72
131,145,1258,1197,474810.27,161309.29,15827.13,46,79,72
132,145,1258,1197,474920.71,160978.05,15093.88,46,79,72
133,145,1258,1197,477506.33,160286.49,14332.34,46,79,62
134,145,1258,1197,478178.12,160032.06,15089.9,46,79,62
135,145,1258,1197,478323.12,159648.23,14898.98,46,79,62
136,145,1258,1198,465662.51,168840.24,14320.95,46,79,69
137,145,1258,1198,466002.82,168633.14,14439.13,46,79,69
138,145,1258,1198,466002.82,168840.24,14563.39,46,79,68
139,145,1258,1198,466319.5,169049.25,13708.14,46,79,69
140,145,1258,1198,466638.93,168633.14,13858.48,46,79,69
141,145,1258,1198,466663.03,168807.22,14187.93,46,79,68
142,145,1258,1198,466663.03,168807.22,14274.48,46,79,67
143,145,1258,1198,467402.44,167750.78,13741.3,46,79,69
144,145,1258,1198,467564.22,167232.54,13787.94,46,79,69
145,145,1258,1198,467584.14,162680.63,18533.05,46,79,67
146,145,1258,1198,467597.78,162680.63,18484.55,46,79,67
147,145,1258,1198,467631.11,162723.21,18156.46,46,79,69
148,145,1258,1198,467631.11,162723.21,18159.37,46,79,68
149,145,1258,1198,467803.81,163051.47,17505.69,46,79,69
