Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,275.54,0.16355140186915887,0.46314109935089465,0.18106221826383187,0.40129145617168155,6.071428571428571,0.06210733032040401,0.562482161866332
a3_o80_m10_an10_ar9_reduced,DBSA,52.95,0.8115264797507789,0.1774406120852436,0.312152207765956,0.23971868944766495,56.07142857142857,0.03261420527224118,0.5568001145882372
a3_o80_m10_an10_ar9_reduced,TPSA,80.01,0.819314641744548,0.2225999127413296,0.35385827296291866,0.14196272051235595,37.857142857142854,0.06363449529861917,0.6450454858793597
a5_o96_m10_an10_ar10_reduced,PSA,231.05,0.45736434108527135,0.3459044821020047,0.16313611517660265,0.3178681974770039,17.56756756756757,0.084200387377125,0.6077408070859412
a5_o96_m10_an10_ar10_reduced,DBSA,40.34,0.7441860465116281,0.19815308309481924,0.2062252349777834,0.22004787364811187,42.34234234234234,0.06017649862680409,0.5157681174276287
a5_o96_m10_an10_ar10_reduced,TPSA,55.36,0.7790697674418605,0.18409234518199266,0.20772622447073322,0.1300327254603501,40.090090090090094,0.09064983963504411,0.6750708482934878
a10_o107_m5_an57_ar12,PSA,184.09,0.6073059360730593,0.5026449419245538,0.20201174304400285,0.20074396202232328,24.644549763033176,0.026766533691383904,0.51942708301937
a10_o107_m5_an57_ar12,DBSA,40.27,0.6301369863013698,0.22168267997617724,0.2444361389268772,0.2455350349975207,28.436018957345972,0.03985358228967964,0.47598790385292933
a10_o107_m5_an57_ar12,TPSA,47.45,0.82648401826484,0.20216997024684813,0.2072973703298904,0.11681960085627359,46.91943127962085,0.031857095110357884,0.6790697674418604
a10_o114_m6_an57_ar11,PSA,380.71,0.49242424242424243,0.3673424553077135,0.3385160160742674,0.11090321749599119,22.87917737789203,0.08118268846805583,0.8289469723551096
a10_o114_m6_an57_ar11,DBSA,51.92,0.7113636363636363,0.20728369685975293,0.3410140914446767,0.20563741908944494,42.673521850899746,0.07643711692844259,0.764849052904024
a10_o114_m6_an57_ar11,TPSA,69.54,0.7484848484848485,0.13029413186511005,0.3056979529462718,0.20201158356499807,34.447300771208226,0.061878548016716294,0.9478101533504343
a10_o128_m6_an51_ar13,PSA,228.45,0.5126953125,0.30610027726090216,0.0016725311492869356,0.25907502867363974,10.681818181818182,0.06061238195362794,0.8604914577508961
a10_o128_m6_an51_ar13,DBSA,65.36,0.8837890625,0.16429933344789732,0.0045780179534969335,0.1657486395899859,49.43181818181818,0.040674477465327506,0.8402129627482378
a10_o128_m6_an51_ar13,TPSA,70.71,0.91015625,0.15450747171786458,0.004524411185891582,0.14663785094481482,39.88636363636363,0.04476300810982199,0.9821428571428571
a10_o144_m6_an53_ar12,PSA,225.86,0.5043290043290044,0.4143504958239955,0.46521025063275273,0.17385391201096737,21.656050955414013,0.06797492707135053,0.5659087891525709
a10_o144_m6_an53_ar12,DBSA,35.0,0.6991341991341993,0.22479966933399825,0.4967203086311777,0.22497570688294066,49.044585987261144,0.05625934413567119,0.47620588062571034
a10_o144_m6_an53_ar12,TPSA,58.93,0.7792207792207793,0.21431362619316055,0.5134563414775681,0.13538162591295538,29.29936305732484,0.1070074217985637,0.6361250209997299
a15_o170_m9_an80_ar18,PSA,447.72,0.49276315789473685,0.22382174361993218,0.008748624473193203,0.28593829234029217,23.581336696090794,0.06786948247308862,0.7870325835913963
a15_o170_m9_an80_ar18,DBSA,104.39,0.8039473684210526,0.13335429246842878,0.036559815506849044,0.24704421481912192,50.441361916771754,0.03285405885494674,0.7920950148517824
a15_o170_m9_an80_ar18,TPSA,112.91,0.719078947368421,0.11373618225697135,0.0018655155126661976,0.24968712825032605,25.97730138713745,0.04385766313692136,0.930140520219758
a20_o236_m12_an106_ar24,PSA,517.73,0.692652329749104,0.20253482568477457,0.08919093994178216,0.1044213837722513,22.868217054263564,0.06094630718494003,0.7790330294066624
a20_o236_m12_an106_ar24,DBSA,145.74,0.7137096774193549,0.09410663333065476,0.02129260809284522,0.29925427361225665,41.60206718346253,0.04461789477775578,0.6699912855024611
a20_o236_m12_an106_ar24,TPSA,143.1,0.806899641577061,0.08148920428558583,0.03251786522940561,0.1543505617371412,35.5297157622739,0.055671698733576545,0.9722473224547237
a25_o306_m13_an127_ar31,PSA,916.17,0.6965258855585831,0.098375370241192,0.006593632415458112,0.2535201383614491,21.357615894039736,0.03729496566332481,0.6470523731178608
a25_o306_m13_an127_ar31,DBSA,191.02,0.7959809264305178,0.10898581155190452,0.007033207909821986,0.24917976831341307,43.99834437086093,0.030372727864417224,0.5052626357299318
a25_o306_m13_an127_ar31,TPSA,205.62,0.8307220708446866,0.07635876788303095,0.016703868785827216,0.09486365336259804,34.644039735099334,0.032473999793692414,0.9406141027107152
a30_o355_m18_an148_ar42,PSA,1030.76,0.46382978723404256,0.31838903995319817,0.014945566808371719,0.24062366793610745,20.318021201413426,0.02391239584296518,0.5942529839753811
a30_o355_m18_an148_ar42,DBSA,290.52,0.8377659574468085,0.10775494784570543,0.006164778274615308,0.3063602303163313,43.72791519434629,0.033133272365283295,0.6358353267341779
a30_o355_m18_an148_ar42,TPSA,304.77,0.8824468085106383,0.11008381048249273,0.015138551171750983,0.07387347860464859,35.95406360424028,0.036817721352824254,0.8911986597145888
a40_o476_m22_an215_ar51,PSA,1650.41,0.6551470588235294,0.14469131554293616,2.1442707042140204e-05,0.4768388240456628,26.604215456674474,0.013024731696234509,0.5105071815039429
a40_o476_m22_an215_ar51,DBSA,477.68,0.8007352941176471,0.14428007246263236,0.0012436770084441316,0.40682245700785746,55.878220140515225,0.010353829289963144,0.5140242355573976
a40_o476_m22_an215_ar51,TPSA,562.37,0.7610294117647058,0.11294851252480606,0.0010935780591491504,0.09596052836907262,17.517564402810304,0.015083379128192909,0.8520034416797763
a50_o578_m28_an276_ar66,PSA,1981.59,0.4532871972318339,0.44410063763384033,0.0028304373295625065,0.2711667359785888,7.069510268562401,0.02257933892440072,0.4846530034422587
a50_o578_m28_an276_ar66,DBSA,671.85,0.8222318339100346,0.1271834147000866,0.0016725311492869356,0.3933923083015541,56.872037914691944,0.02201277656525675,0.46194448553635414
a50_o578_m28_an276_ar66,TPSA,1081.6,0.9217128027681661,0.046364463017951246,0.005382119467577191,0.06941957520541812,36.05845181674566,0.02793740409393994,0.9873949579831933
