Construction Fulfillment,WorkerWorkDistance
0,0.0
1,11.451294751220624
2,28.94341164441648
3,91.59458702992987
4,202.16170071301315
5,339.38006207159503
6,516.0063334331345
7,722.378707988799
8,975.4779381139348
9,1241.3189015371645
10,1656.9881324352723
11,2152.2078882787823
12,2692.6544626093278
13,3260.5556419875206
14,4080.314212564663
15,4975.59771811661
16,5885.367016168841
17,7674.218541180349
18,10131.759859735892
19,13142.448723947911
