Construction Fulfillment,WorkerWorkDistance
0,0.0
1,50.442235021737304
2,139.71555864656085
3,294.42088259783685
4,682.2966383162454
5,1484.4844004170373
6,2424.251286071054
7,3536.052390127436
8,4962.929466263403
