Construction Fulfillment,WorkerUsage
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,2.0
8,2.0
9,3.0
10,4.0
11,5.0
12,7.0
13,9.0
14,12.0
