Construction Fulfillment,MachineTransportDistance
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,15.231546211727817
7,36.60910453815977
8,72.83064509070944
9,113.63505661691576
10,174.88809118381832
