Time (s),Solutions
2.6,49.0
2.6160098370734706,47.0
2.6320196741469415,47.0
2.648029511220412,48.0
2.6640393482938824,48.0
2.6800491853673534,48.0
2.696059022440824,48.0
2.7120688595142948,49.0
2.7280786965877653,49.0
2.7440885336612357,49.0
2.7600983707347067,50.0
2.776108207808177,51.0
2.7921180448816476,51.0
2.8081278819551185,52.0
2.824137719028589,53.0
2.84014755610206,53.0
2.8561573931755304,53.0
2.872167230249001,54.0
2.888177067322472,54.0
2.9041869043959423,54.0
2.9201967414694128,55.0
2.9362065785428837,55.0
2.952216415616354,55.0
2.9682262526898247,56.0
2.9842360897632956,56.0
3.000245926836766,56.0
3.016255763910237,56.0
3.0322656009837075,57.0
3.048275438057178,57.0
3.064285275130649,57.0
3.0802951122041193,58.0
3.09630494927759,58.0
3.1123147863510607,58.0
3.128324623424531,58.0
3.1443344604980017,58.0
3.1603442975714726,58.0
3.176354134644943,59.0
3.192363971718414,59.0
3.2083738087918845,59.0
3.224383645865355,59.0
3.240393482938826,59.0
3.2564033200122964,59.0
3.272413157085767,59.0
3.2884229941592378,59.0
3.3044328312327083,59.0
3.320442668306179,60.0
3.3364525053796497,60.0
3.35246234245312,61.0
3.368472179526591,60.0
3.3844820166000615,61.0
3.400491853673532,61.0
3.416501690747003,61.0
3.4325115278204734,62.0
3.448521364893944,62.0
3.464531201967415,62.0
3.4805410390408853,62.0
3.496550876114356,62.0
3.5125607131878267,62.0
3.528570550261297,62.0
3.544580387334768,62.0
3.5605902244082386,62.0
3.576600061481709,62.0
3.59260989855518,62.0
3.6086197356286505,62.0
3.624629572702121,62.0
3.640639409775592,62.0
3.6566492468490623,62.0
3.6726590839225333,62.0
3.6886689209960037,62.0
3.704678758069474,63.0
3.720688595142945,63.0
3.7366984322164156,63.0
3.752708269289886,63.0
3.768718106363357,63.0
3.7847279434368275,63.0
3.8007377805102984,63.0
3.816747617583769,63.0
3.8327574546572394,63.0
3.8487672917307103,63.0
3.864777128804181,63.0
3.8807869658776513,63.0
3.896796802951122,63.0
3.9128066400245927,63.0
3.928816477098063,63.0
3.944826314171534,63.0
3.9608361512450045,63.0
3.9768459883184755,63.0
3.992855825391946,63.0
4.008865662465417,63.0
4.024875499538887,63.0
4.040885336612358,63.0
4.056895173685828,63.0
4.072905010759299,63.0
4.08891484783277,63.0
