Construction Fulfillment,MachineUsage
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,2.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,4.0
15,4.0
16,5.0
17,5.0
