Construction Fulfillment,WorkerWorkDistance
0,0.0
1,31.27166362242799
2,117.62861870037347
3,219.25186927681705
4,333.2879874922504
5,461.8453522432648
6,616.2026311371632
7,773.1817756205235
8,947.4913119712864
9,1128.7394201197778
10,1386.084020143141
11,1644.3062827556041
12,2009.1952356611196
13,2607.832841859828
14,3410.612128254406
15,4288.23615218401
16,5512.135533899154
17,7134.586445905296
