         394795209 function calls (394791980 primitive calls) in 79.899 seconds

   Ordered by: cumulative time
   List reduced from 1340 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   292516    0.221    0.000    0.687    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.641    0.641 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:10(__init__)
        1    0.000    0.000    0.639    0.639 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:524(_transfrom_data)
     7507    0.174    0.000    0.627    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2844(MakeOneMove)
   305452    0.621    0.000    0.621    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2667(<listcomp>)
   305452    0.614    0.000    0.614    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2668(<listcomp>)
   348055    0.451    0.000    0.600    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2374(__init__)
    30443    0.554    0.000    0.593    0.000 {built-in method io.open}
    13964    0.477    0.000    0.578    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:927(calculate_commute_distance)
        1    0.000    0.000    0.570    0.570 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Solver.py:42(BuildingPhase)
        1    0.002    0.002    0.570    0.570 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:153(Run)
 14057676    0.559    0.000    0.559    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:817(<lambda>)
    13964    0.437    0.000    0.532    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:939(calculate_transport_distance)
19131059/19130799    0.506    0.000    0.507    0.000 {built-in method builtins.len}
 11676601    0.452    0.000    0.452    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1165(id)
        1    0.028    0.028    0.401    0.401 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:339(PurgeParetoFront)
   154385    0.397    0.000    0.397    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2289(<listcomp>)
     8686    0.114    0.000    0.395    0.000 {gurobipy.quicksum}
  9839942    0.385    0.000    0.385    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:818(<lambda>)
   147608    0.377    0.000    0.377    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2610(<listcomp>)
   148217    0.372    0.000    0.372    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2638(<listcomp>)
        1    0.221    0.221    0.342    0.342 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:93(preprocess_data)
  8705137    0.338    0.000    0.338    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1201(predecessor_ids)
   292572    0.324    0.000    0.324    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    13964    0.245    0.000    0.299    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:802(calculate_attachment_distance)
  6622459    0.299    0.000    0.299    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:800(id)
     9809    0.205    0.000    0.295    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:75(WorkerRouteFeasibilityCheck)
        9    0.200    0.022    0.289    0.032 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1109(add_data)
       18    0.194    0.011    0.289    0.016 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:977(add_data)
  5337964    0.283    0.000    0.283    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:812(duration)
6966107/6966082    0.233    0.000    0.233    0.000 {built-in method builtins.isinstance}
    13964    0.214    0.000    0.224    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:906(calculate_finished_order_items)
  1913502    0.221    0.000    0.221    0.000 {method 'index' of 'list' objects}
   116331    0.213    0.000    0.213    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3209(<listcomp>)
   116927    0.210    0.000    0.210    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3240(<listcomp>)
  5432590    0.204    0.000    0.204    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:634(order_items)
  4231604    0.198    0.000    0.198    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1205(successor_ids)
     8410    0.136    0.000    0.196    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2051(<listcomp>)
    73983    0.160    0.000    0.160    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2323(<listcomp>)
  2576890    0.158    0.000    0.158    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:646(machines)
  1137670    0.147    0.000    0.147    0.000 {method 'remove' of 'list' objects}
     9004    0.100    0.000    0.132    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1747(<listcomp>)
    13964    0.090    0.000    0.127    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:883(categorizing_machine_worker)
  2424909    0.118    0.000    0.118    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1181(default_drivers)
      111    0.000    0.000    0.117    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:205(SingleMove)
  2702814    0.117    0.000    0.117    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:672(transport_routes_order_item)
  3249700    0.117    0.000    0.117    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:727(order_number)
     7670    0.005    0.000    0.115    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2732(EvaluateMove)
  2031416    0.112    0.000    0.112    0.000 {method 'items' of 'dict' objects}
     7670    0.078    0.000    0.109    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:314(calculate_swap_shift_machine_delta)
   992622    0.107    0.000    0.107    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:514(<genexpr>)
  3071809    0.106    0.000    0.106    0.000 {method 'append' of 'list' objects}
    60891    0.102    0.000    0.102    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2887(<listcomp>)
       59    0.021    0.000    0.096    0.002 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:477(MakeOneMove)
    42603    0.091    0.000    0.091    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2683(<listcomp>)
  2227430    0.091    0.000    0.091    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1072(predecessor_ids)
    42603    0.090    0.000    0.090    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2684(<listcomp>)
  2378907    0.089    0.000    0.089    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:677(work_routes_order_item)
   686973    0.056    0.000    0.089    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:827(<genexpr>)
  2471097    0.087    0.000    0.087    0.000 {method 'keys' of 'dict' objects}
     7706    0.014    0.000    0.082    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:314(clone)
56055/56022    0.018    0.000    0.079    0.000 {built-in method builtins.sum}
    73983    0.051    0.000    0.071    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2151(__init__)
     4088    0.042    0.000    0.070    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:829(<listcomp>)
     7574    0.012    0.000    0.068    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2359(constructCompleteRoutes)
     7591    0.011    0.000    0.068    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2135(constructCompleteRoutes)
     7661    0.004    0.000    0.067    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2346(EvaluateMove)
     7534    0.012    0.000    0.066    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2745(constructCompleteRoutes)
        1    0.035    0.035    0.064    0.064 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:691(<listcomp>)
   292516    0.063    0.000    0.063    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
   878915    0.063    0.000    0.063    0.000 {method 'insert' of 'list' objects}
    44842    0.063    0.000    0.063    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:16(__init__)
       16    0.032    0.002    0.061    0.004 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:697(<genexpr>)
     7661    0.045    0.000    0.061    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:573(calculate_replace_shift_machine_delta)
  1088788    0.058    0.000    0.058    0.000 {method 'startswith' of 'str' objects}
  1103125    0.055    0.000    0.055    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1076(successor_ids)
    13964    0.052    0.000    0.052    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:840(<listcomp>)
     1362    0.048    0.000    0.049    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:455(find_first_insertion_position)
       80    0.030    0.000    0.048    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:867(add_data)
     5256    0.008    0.000    0.047    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1893(constructCompleteRoutes)
    57800    0.036    0.000    0.046    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:230(<genexpr>)
    57800    0.037    0.000    0.045    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:229(<genexpr>)
    31407    0.034    0.000    0.044    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1535(__init__)
    13964    0.044    0.000    0.044    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:817(<listcomp>)
   844909    0.043    0.000    0.043    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:930(type)
   909141    0.042    0.000    0.042    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:804(start_time)
   898869    0.040    0.000    0.040    0.000 {method 'values' of 'dict' objects}
     5292    0.003    0.000    0.040    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1880(EvaluateMove)
   844881    0.039    0.000    0.039    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:638(attachments)
   846147    0.038    0.000    0.038    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:743(order_item_ids)
     7706    0.038    0.000    0.038    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:321(<dictcomp>)
   327590    0.038    0.000    0.038    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:502(<genexpr>)
     7794    0.026    0.000    0.037    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2588(<listcomp>)
     7591    0.036    0.000    0.036    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2140(<dictcomp>)
     7574    0.036    0.000    0.036    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2363(<dictcomp>)
     5292    0.026    0.000    0.035    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:479(calculate_swap_shift_attachment_delta)
     7534    0.035    0.000    0.035    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2749(<dictcomp>)
   127798    0.035    0.000    0.035    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:525(<genexpr>)
    12199    0.027    0.000    0.033    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3190(<listcomp>)
        1    0.000    0.000    0.031    0.031 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Solver.py:34(ConstructionPhase)
        1    0.000    0.000    0.031    0.031 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ConstructiveHeuristic.py:22(Run)
        1    0.006    0.006    0.030    0.030 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ConstructiveHeuristic.py:404(OrderItemGreedy)
   904208    0.030    0.000    0.030    0.000 {method 'date' of 'datetime.datetime' objects}
    30440    0.016    0.000    0.030    0.000 /opt/anaconda3/lib/python3.9/_bootlocale.py:33(getpreferredencoding)
     8145    0.019    0.000    0.029    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2276(<listcomp>)
     7653    0.004    0.000    0.028    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2123(EvaluateMove)
   344706    0.026    0.000    0.026    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:690(min_transport_distance)
   453426    0.026    0.000    0.026    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1189(possible_order_item_ids)
     5256    0.025    0.000    0.025    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1897(<dictcomp>)
    13964    0.023    0.000    0.023    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:873(<listcomp>)
    45859    0.018    0.000    0.022    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:69(Update)
    45812    0.017    0.000    0.022    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:778(unnormalize_value)
   292501    0.022    0.000    0.022    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2974(_prod_dispatcher)
     7653    0.017    0.000    0.022    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:711(calculate_replace_shift_attachment_delta)
       52    0.005    0.000    0.020    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1033(MakeOneMove)
   300579    0.019    0.000    0.019    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1059(possible_order_item_ids)
