         350495648 function calls in 80.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105600    0.238    0.000   44.276    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1477(SingleMove)
  2443944    9.735    0.000   16.016    0.000 {method 'choice' of 'numpy.random._generator.Generator' objects}
    17486    0.990    0.000   14.978    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1670(MakeOneMove)
    31867    0.092    0.000   14.140    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:782(evaluate)
    88114    2.428    0.000   10.762    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:277(update_weights)
    31867    0.608    0.000    9.631    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:520(UpdateParetoFront)
  5544204    5.890    0.000    9.022    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:561(CompareSolutions)
    17633    5.278    0.000    8.955    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2516(MakeOneMove)
    17574    3.524    0.000    7.151    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3123(MakeOneMove)
  2443944    0.921    0.000    6.107    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2979(prod)
    17707    1.188    0.000    5.798    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2806(MakeOneMove)
  2443944    1.656    0.000    5.187    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    31867    2.082    0.000    4.863    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:946(calculate_driver_violation)
   198706    3.193    0.000    4.629    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:75(WorkerRouteFeasibilityCheck)
    17677    2.679    0.000    4.286    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2203(MakeOneMove)
 93116950    4.278    0.000    4.278    0.000 {built-in method builtins.getattr}
  5260180    2.013    0.000    3.310    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:315(<dictcomp>)
  3689867    0.688    0.000    3.243    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:302(distance)
    31867    2.631    0.000    3.124    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:826(categorizing_orders)
  3993563    1.032    0.000    2.673    0.000 {built-in method builtins.sum}
