Instance,Finished_Orders,Finished_Order_Items,Total_Time
a3_o80_m10_an10_ar9_reduced,3,80,0.0
a5_o96_m10_an10_ar10_reduced,5,96,0.0
a10_o107_m5_an57_ar12,9,67,0.06
a10_o114_m6_an57_ar11,9,84,14.04
a10_o128_m6_an51_ar13,8,90,0.02
a10_o144_m6_an53_ar12,6,46,0.01
a15_o170_m9_an80_ar18,15,170,1.31
a20_o236_m12_an106_ar24,17,170,19.34
a25_o306_m13_an127_ar31,22,210,1.89
a30_o355_m18_an148_ar42,30,355,3.01
a40_o476_m22_an215_ar51,38,442,10.5
a50_o578_m28_an276_ar66,47,490,20.58
