         299577955 function calls in 64.463 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105600    0.218    0.000   30.568    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1477(SingleMove)
    30373    0.080    0.000   13.575    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:782(evaluate)
    87979    2.187    0.000    9.799    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:277(update_weights)
    30373    0.594    0.000    9.310    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:520(UpdateParetoFront)
    17655    5.098    0.000    8.773    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2516(MakeOneMove)
  5375135    6.096    0.000    8.715    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:561(CompareSolutions)
    17766    3.352    0.000    6.936    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3123(MakeOneMove)
   812322    3.454    0.000    5.788    0.000 {method 'choice' of 'numpy.random._generator.Generator' objects}
    17387    1.149    0.000    5.552    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2806(MakeOneMove)
    30373    2.049    0.000    4.829    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:946(calculate_driver_violation)
    17662    2.786    0.000    4.543    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2203(MakeOneMove)
   180281    2.965    0.000    4.358    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:75(WorkerRouteFeasibilityCheck)
 87862050    3.288    0.000    3.288    0.000 {built-in method builtins.getattr}
  4742758    1.916    0.000    3.059    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:315(<dictcomp>)
    30373    2.518    0.000    2.993    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:826(categorizing_orders)
  3072968    0.601    0.000    2.870    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:302(distance)
  3370418    0.919    0.000    2.391    0.000 {built-in method builtins.sum}
   812322    0.354    0.000    2.269    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2979(prod)
  4069982    0.362    0.000    2.205    0.000 {built-in method builtins.next}
    17509    0.149    0.000    2.149    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1971(MakeOneMove)
   812322    0.615    0.000    1.915    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    30373    1.630    0.000    1.864    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:810(calculate_dynamic_percentage_order)
    30373    1.373    0.000    1.851    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:958(calculate_machine_worker_attachment_count_and_utilization_time)
    17621    0.133    0.000    1.647    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1670(MakeOneMove)
 10505170    1.135    0.000    1.427    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:303(<genexpr>)
  4069982    1.076    0.000    1.076    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:953(<genexpr>)
  4742758    0.990    0.000    0.990    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:293(dominates)
  4069982    0.723    0.000    0.982    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:954(<genexpr>)
   812322    0.895    0.000    0.895    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   468804    0.533    0.000    0.715    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2336(__init__)
 22113394    0.680    0.000    0.680    0.000 {built-in method builtins.len}
    30373    0.494    0.000    0.608    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:924(calculate_commute_distance)
 11846955    0.562    0.000    0.562    0.000 {method 'get' of 'dict' objects}
 13250117    0.556    0.000    0.556    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:798(start_time)
    30373    0.418    0.000    0.516    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:936(calculate_transport_distance)
 13250117    0.496    0.000    0.496    0.000 {method 'date' of 'datetime.datetime' objects}
 10123832    0.485    0.000    0.485    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1195(predecessor_ids)
    25033    0.309    0.000    0.484    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2013(<listcomp>)
   273135    0.475    0.000    0.475    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2251(<listcomp>)
   237530    0.409    0.000    0.409    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2572(<listcomp>)
   239078    0.406    0.000    0.406    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2600(<listcomp>)
   270153    0.370    0.000    0.370    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3171(<listcomp>)
    30373    0.298    0.000    0.363    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:800(calculate_attachment_distance)
   270984    0.361    0.000    0.361    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3202(<listcomp>)
    87974    0.218    0.000    0.344    0.000 {built-in method builtins.min}
   393245    0.327    0.000    0.327    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2629(<listcomp>)
   393245    0.317    0.000    0.317    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2630(<listcomp>)
  6414461    0.300    0.000    0.300    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:628(order_items)
  7449968    0.294    0.000    0.294    0.000 {built-in method builtins.abs}
   254163    0.290    0.000    0.290    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2849(<listcomp>)
    17655    0.011    0.000    0.282    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2694(EvaluateMove)
  6217878    0.278    0.000    0.278    0.000 {method 'append' of 'list' objects}
  4930365    0.270    0.000    0.270    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1199(successor_ids)
    17655    0.196    0.000    0.266    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:313(calculate_swap_shift_machine_delta)
