Instance,BoundTime,Runtime,ObjValue,BestOrders,OrderCount
a3_o80_m10_an10_ar9_reduced,0.71,0.15,3.0,"[0, 1, 2]",3
a5_o96_m10_an10_ar10_reduced,1.01,0.21,5.0,"[0, 1, 2, 3, 4]",5
a10_o107_m5_an57_ar12,1.21,0.31,9.5,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",9
a10_o114_m6_an57_ar11,1.32,0.31,9.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9
a10_o128_m6_an51_ar13,1.85,0.43,8.5,"[0, 2, 3, 4, 5, 6, 8, 9]",8
a10_o144_m6_an53_ar12,2.58,0.91,6.500000000000001,"[2, 3, 4, 7, 8, 9]",6
