         19910184 function calls in 5.197 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10400    0.020    0.000    2.938    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1514(SingleMove)
     3259    0.008    0.000    1.446    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:784(evaluate)
     1777    0.531    0.000    0.881    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2554(MakeOneMove)
     1763    0.350    0.000    0.689    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3161(MakeOneMove)
    78817    0.323    0.000    0.545    0.000 {method 'choice' of 'numpy.random._generator.Generator' objects}
     3259    0.219    0.000    0.509    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:949(calculate_driver_violation)
     1657    0.105    0.000    0.457    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2844(MakeOneMove)
     1722    0.275    0.000    0.449    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2241(MakeOneMove)
    14846    0.255    0.000    0.364    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:75(WorkerRouteFeasibilityCheck)
     3259    0.026    0.000    0.360    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:478(UpdateParetoFront)
     8655    0.081    0.000    0.337    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:275(update_weights)
   202373    0.227    0.000    0.334    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:519(CompareSolutions)
