Construction Fulfillment,WorkerWorkDistance
0,0.0
1,64.88853275174883
2,152.6432297918631
3,339.2119729149123
4,601.9616248139143
5,893.0945264648179
6,1315.3736503771104
7,1805.5162649563895
8,2517.156694493901
9,3329.0248209169163
