Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,285.5,0.3849765258215963,0.5096822968151474,0.37185942552479534,0.2935810643164048,16.455696202531644,0.03552934996892025,0.6634757168087562
a3_o80_m10_an10_ar9_reduced,DBSA,51.41,0.7863849765258215,0.2027575470478616,0.6142906713432325,0.18760120954018147,59.49367088607595,0.04650675425275273,0.5944145010860746
a3_o80_m10_an10_ar9_reduced,TPSA,100.28,0.6643192488262911,0.29685441982433114,0.4389107704455678,0.19611616820616157,24.050632911392405,0.07446559215177867,0.6502261852621255
a5_o96_m10_an10_ar10_reduced,PSA,213.43,0.4577114427860697,0.7597440065109918,0.15529880575270041,0.2820331584872832,20.11173184357542,0.08789825488399441,0.44268578073295656
a5_o96_m10_an10_ar10_reduced,DBSA,41.63,0.8482587064676615,0.1765426901465386,0.20670769588623153,0.21799581181876926,53.072625698324025,0.06460495723203655,0.5928862979601445
a5_o96_m10_an10_ar10_reduced,TPSA,66.34,0.5472636815920396,0.41475999417181686,0.12753050013312883,0.32881967043708216,26.81564245810056,0.09948238838006772,0.6001455422612343
a10_o107_m5_an57_ar12,PSA,192.39,0.5963541666666667,0.6344699309358041,0.3900642838035724,0.11843581585995083,33.33333333333333,0.05385695196275087,0.3695386455566079
a10_o107_m5_an57_ar12,DBSA,42.66,0.8515625000000001,0.15413745716146374,0.3407138935460867,0.1469630191270562,56.00000000000001,0.06365899359935219,0.5833344448784963
a10_o107_m5_an57_ar12,TPSA,64.08,0.30468750000000006,0.2698516698845089,0.1536155532498924,0.7636342715822554,10.666666666666668,0.031464319763605156,0.6571428571428571
a10_o114_m6_an57_ar11,PSA,317.11,0.25,2.2601887696816783,0.38923873958245,0.0807952424516409,10.247349823321555,0.16051187459776936,0.5744574817937796
