Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Machines,Workers,Transport Attachments,Attachments
6,46,3,5603.39,506.6,6,7,0,0
6,46,4,5525.62,506.6,6,7,0,0
6,46,5,5873.98,916.83,6,6,0,0
6,46,5,5885.34,886.21,6,6,0,0
6,46,6,5495.38,779.29,6,8,0,0
6,46,9,5949.3,948.37,5,10,0,0
6,46,9,6014.48,948.37,5,9,0,0
6,46,9,6104.29,948.37,5,8,0,0
6,46,10,5689.63,964.12,5,10,0,0
6,46,10,5752.84,942.57,5,9,0,0
6,46,10,5975.86,948.37,5,8,0,0
6,46,10,6133.27,948.37,5,7,0,0
6,46,11,5753.65,867.09,5,8,0,0
6,46,11,6068.55,823.76,5,9,0,0
6,46,11,6083.43,845.87,5,8,0,0
6,46,12,5878.61,823.76,5,10,0,0
6,46,12,6083.43,805.26,5,8,0,0
6,46,13,5561.5,947.46,4,9,0,0
6,46,13,5629.0,947.46,4,8,0,0
6,46,13,5725.88,947.46,4,7,0,0
6,46,13,5840.61,903.38,4,7,0,0
6,46,13,5861.57,778.1,5,9,0,0
6,46,13,5954.04,850.81,4,8,0,0
6,46,13,5965.43,819.04,5,8,0,0
6,46,13,5974.1,778.43,5,8,0,0
6,46,14,5671.97,871.45,4,9,0,0
6,46,14,5756.99,778.1,5,10,0,0
6,46,14,5765.65,850.81,5,9,0,0
6,46,14,5780.47,866.56,4,10,0,0
6,46,14,5895.06,850.81,5,8,0,0
6,46,14,5983.49,834.99,4,9,0,0
6,46,14,6070.46,740.15,5,9,0,0
6,46,15,4738.22,404.94,4,8,0,0
6,46,16,4183.21,380.01,6,8,0,0
6,46,16,4517.05,437.65,4,9,0,0
6,46,16,4547.65,532.73,4,8,0,0
6,46,16,4581.83,468.44,4,7,0,0
6,46,16,4622.1,393.19,5,9,0,0
6,46,16,4632.75,404.94,4,8,0,0
6,46,16,4987.74,652.03,5,6,0,0
6,46,17,4234.81,469.22,5,9,0,0
6,46,17,4397.87,506.04,5,8,0,0
6,46,17,4406.16,583.5,4,10,0,0
6,46,17,4426.63,404.94,5,9,0,0
6,46,17,4466.24,514.61,4,9,0,0
6,46,17,4489.87,336.05,5,8,0,0
6,46,17,4517.05,373.36,4,9,0,0
6,46,17,4529.16,259.08,5,10,0,0
