Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a10_o107_m5_an57_ar12,DBSA,43.873333333333335,0.8349738100235025,0.1609460434883754,0.3475014037710509,0.21456639209045122,76.60262085909291,0.05353788506254014,0.6159090750918265
a10_o107_m5_an57_ar12,PSA,167.22,0.3959241691507351,0.6138866240370625,0.29121965846219333,0.15653538893561378,23.397379140907084,0.06367782290960194,0.5495762359716813
a10_o114_m6_an57_ar11,DBSA,57.6175,0.8510569583691248,0.15619637770041112,0.3685786913473479,0.12573576941089873,74.82413811379136,0.07300191721094794,0.8681125738917514
a10_o114_m6_an57_ar11,PSA,317.6016666666667,0.46473830096370816,0.7212891946872252,0.4608663155644658,0.11975172952663912,25.175861886208644,0.1273409710657475,0.8661824129899356
a10_o128_m6_an51_ar13,DBSA,51.68416666666667,0.8472416973711768,0.22577438005133754,0.0064962467876416765,0.1892810234689384,77.21312558151773,0.05723421325765368,0.884181718128814
a10_o128_m6_an51_ar13,PSA,217.53666666666666,0.34962767184415683,0.5415762170797911,0.005728776564758399,0.24039155336896886,22.786874418482277,0.10756245814535187,0.931125019570232
a10_o144_m6_an53_ar12,DBSA,37.170833333333334,0.7612184389128773,0.1635450019879427,0.48755623170904305,0.2577203552237092,63.487921864888115,0.07406365525670057,0.6095040727892352
a10_o144_m6_an53_ar12,PSA,175.83333333333334,0.6151911845054225,0.3538082454669427,0.5968622177486063,0.13890489385197136,36.512078135111885,0.08938310810253405,0.6048532797991544
a15_o170_m9_an80_ar18,DBSA,106.03083333333333,0.8320615876553435,0.10898093199640149,0.040237239764576035,0.2240906148625794,77.23102461476702,0.03869825442333093,0.8313576937645014
a15_o170_m9_an80_ar18,PSA,410.27833333333336,0.4510229448746053,0.27330461460450745,0.10790506251280997,0.18675653152523314,22.768975385232977,0.058804520847299466,0.8699082161000778
a20_o236_m12_an106_ar24,DBSA,165.6325,0.8600994037139877,0.06217374652734013,0.10861267184520061,0.18259165347724002,73.64984807824754,0.04988881296358543,0.8409575950844191
a20_o236_m12_an106_ar24,PSA,697.2491666666666,0.6541971478356322,0.12293925832017452,0.24589424300574272,0.10181604864520716,26.35015192175246,0.06618711992395723,0.9347699281708367
a25_o306_m13_an127_ar31,DBSA,207.90166666666667,0.7609322081308603,0.06811937904040752,0.06656531022781718,0.23494235456097284,70.38843826685118,0.03629135987902281,0.7279080515179259
a25_o306_m13_an127_ar31,PSA,871.4025,0.5962935101105994,0.08010540165788266,0.13527667805210195,0.1292454178340473,29.611561733148815,0.045245975309153454,0.9232309095617756
a30_o355_m18_an148_ar42,DBSA,299.49833333333333,0.7717858495235853,0.07936665083709628,0.058818238862717274,0.20619622818236796,69.49340737146522,0.039492572741326434,0.8127733578042009
a30_o355_m18_an148_ar42,PSA,945.1425,0.5469491359259194,0.12633745086629072,0.11251167074236308,0.13549964329019365,30.506592628534772,0.043735007008229,0.9190319798344327
a3_o80_m10_an10_ar9_reduced,DBSA,50.440000000000005,0.8822370649376203,0.16395743512628214,0.5892688191173083,0.131183566336192,81.29050841401275,0.04735448049256923,0.6280405954717547
a3_o80_m10_an10_ar9_reduced,PSA,267.96999999999997,0.3429496020912944,0.48376432022366617,0.4988708334582791,0.24082362647098157,18.709491585987244,0.11513558474183093,0.6080063085924287
a40_o476_m22_an215_ar51,DBSA,533.9233333333333,0.6336766179202061,0.087109461385441,0.027721846420980207,0.31007460352084587,71.87754824089336,0.018113928121142438,0.6821695728914429
a40_o476_m22_an215_ar51,PSA,1720.2666666666667,0.47996346687754876,0.10528246695655955,0.017063034128783006,0.19864126743050411,28.12245175910664,0.022513371456399457,0.8718449990129794
a50_o578_m28_an276_ar66,DBSA,715.5875000000001,0.8340655588484698,0.05958137775714018,0.06480254101972789,0.17639352811082026,75.18914180268946,0.02928834266292635,0.7770812580569163
a50_o578_m28_an276_ar66,PSA,2045.4433333333332,0.4875560435197247,0.10878791828381067,0.09229745212451218,0.16796963895372002,24.810858197310537,0.03270709115254818,0.8628672422916217
a5_o96_m10_an10_ar10_reduced,DBSA,42.79916666666667,0.8306284549197418,0.20111222676512755,0.3010207624727049,0.16989773274609218,76.66429407300807,0.07204578300251235,0.6119687100141673
a5_o96_m10_an10_ar10_reduced,PSA,202.48499999999999,0.4373332255793669,0.5352036922197501,0.3181132803236709,0.2252416116306066,23.335705926991935,0.1088838030410492,0.5717165985458849
