Construction Fulfillment,WorkerWorkDistance
0,0.0
1,53.26540035952386
2,144.5478574138763
3,266.95071762559866
4,391.7372082588421
5,535.3589936274943
6,723.2986624535171
7,950.1756971606367
8,1319.129716907231
9,1816.181047017154
10,2435.6933091836217
11,3113.2428113496608
12,3870.310949711763
13,5224.085408654773
14,6799.725619305014
15,11921.448640191784
