Construction Fulfillment,WorkerUsage
0,0.0
1,1.0
2,2.0
3,2.0
4,2.0
5,3.0
6,3.0
7,4.0
8,4.0
9,5.0
10,5.0
11,6.0
12,8.0
13,10.0
14,12.0
15,14.0
