Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Machines,Workers,Transport Attachments,Attachments
17,170,85,12605.01,2379.1,9,15,44.55,15.0
17,170,85,12605.01,2379.1,9,15,259.91,11.0
17,170,85,12605.01,2379.1,9,15,89.11,14.0
17,170,85,12605.01,2379.1,9,15,138.76,13.0
17,170,85,12605.01,2379.1,9,15,199.17,12.0
17,170,106,10817.94,1976.33,7,19,44.55,15.0
17,170,106,10817.94,1976.33,7,19,259.91,11.0
17,170,106,10817.94,1976.33,7,19,89.11,14.0
17,170,106,10817.94,1976.33,7,19,138.76,13.0
17,170,106,10817.94,1976.33,7,19,199.17,12.0
17,170,110,11368.04,1160.38,11,18,44.55,15.0
17,170,110,11368.04,1160.38,11,18,259.91,11.0
17,170,110,11368.04,1160.38,11,18,89.11,14.0
17,170,110,11368.04,1160.38,11,18,138.76,13.0
17,170,110,11368.04,1160.38,11,18,199.17,12.0
17,170,111,11368.04,1116.8,10,18,44.55,15.0
17,170,111,11368.04,1116.8,10,18,259.91,11.0
17,170,111,11368.04,1116.8,10,18,89.11,14.0
17,170,111,11368.04,1116.8,10,18,138.76,13.0
17,170,111,11368.04,1116.8,10,18,199.17,12.0
17,170,111,11368.04,1265.01,9,18,44.55,15.0
17,170,111,11368.04,1265.01,9,18,259.91,11.0
17,170,111,11368.04,1265.01,9,18,89.11,14.0
17,170,111,11368.04,1265.01,9,18,138.76,13.0
17,170,111,11368.04,1265.01,9,18,199.17,12.0
17,170,112,11368.04,1163.38,9,18,44.55,15.0
17,170,112,11368.04,1163.38,9,18,259.91,11.0
17,170,112,11368.04,1163.38,9,18,89.11,14.0
17,170,112,11368.04,1163.38,9,18,138.76,13.0
17,170,112,11368.04,1163.38,9,18,199.17,12.0
17,170,121,11368.04,1537.85,8,18,44.55,15.0
17,170,121,11368.04,1537.85,8,18,259.91,11.0
17,170,121,11368.04,1537.85,8,18,89.11,14.0
17,170,121,11368.04,1537.85,8,18,138.76,13.0
17,170,121,11368.04,1537.85,8,18,199.17,12.0
17,170,126,9983.21,3555.93,12,17,44.55,15.0
17,170,126,9983.21,3555.93,12,17,259.91,11.0
17,170,126,9983.21,3555.93,12,17,89.11,14.0
17,170,126,9983.21,3555.93,12,17,138.76,13.0
17,170,126,9983.21,3555.93,12,17,199.17,12.0
17,170,127,9591.88,3555.93,12,17,44.55,15.0
17,170,127,9591.88,3555.93,12,17,259.91,11.0
17,170,127,9591.88,3555.93,12,17,89.11,14.0
17,170,127,9591.88,3555.93,12,17,138.76,13.0
17,170,127,9591.88,3555.93,12,17,199.17,12.0
17,170,135,14834.48,4754.95,8,17,44.55,15.0
17,170,135,14834.48,4754.95,8,17,259.91,11.0
17,170,135,14834.48,4754.95,8,17,89.11,14.0
17,170,135,14834.48,4754.95,8,17,138.76,13.0
17,170,135,14834.48,4754.95,8,17,199.17,12.0
17,170,145,11354.32,3276.67,12,15,44.55,15.0
17,170,145,11354.32,3276.67,12,15,259.91,11.0
17,170,145,11354.32,3276.67,12,15,89.11,14.0
17,170,145,11354.32,3276.67,12,15,138.76,13.0
17,170,145,11354.32,3276.67,12,15,199.17,12.0
17,170,145,11370.27,3276.67,12,14,44.55,15.0
17,170,145,11370.27,3276.67,12,14,259.91,11.0
17,170,145,11370.27,3276.67,12,14,89.11,14.0
17,170,145,11370.27,3276.67,12,14,138.76,13.0
17,170,145,11370.27,3276.67,12,14,199.17,12.0
17,170,146,11278.96,3276.67,12,17,44.55,15.0
17,170,146,11278.96,3276.67,12,17,259.91,11.0
17,170,146,11278.96,3276.67,12,17,89.11,14.0
17,170,146,11278.96,3276.67,12,17,138.76,13.0
17,170,146,11278.96,3276.67,12,17,199.17,12.0
17,170,146,11324.44,3276.67,12,15,44.55,15.0
17,170,146,11324.44,3276.67,12,15,259.91,11.0
17,170,146,11324.44,3276.67,12,15,89.11,14.0
17,170,146,11324.44,3276.67,12,15,138.76,13.0
17,170,146,11324.44,3276.67,12,15,199.17,12.0
17,170,146,11357.97,3276.67,12,14,44.55,15.0
17,170,146,11357.97,3276.67,12,14,259.91,11.0
17,170,146,11357.97,3276.67,12,14,89.11,14.0
17,170,146,11357.97,3276.67,12,14,138.76,13.0
17,170,146,11357.97,3276.67,12,14,199.17,12.0
17,170,147,11189.28,3276.67,12,16,44.55,15.0
17,170,147,11189.28,3276.67,12,16,259.91,11.0
17,170,147,11189.28,3276.67,12,16,89.11,14.0
17,170,147,11189.28,3276.67,12,16,138.76,13.0
17,170,147,11189.28,3276.67,12,16,199.17,12.0
17,170,147,11220.69,3276.67,12,15,44.55,15.0
17,170,147,11220.69,3276.67,12,15,259.91,11.0
17,170,147,11220.69,3276.67,12,15,89.11,14.0
17,170,147,11220.69,3276.67,12,15,138.76,13.0
