Construction Fulfillment,WorkerWorkDistance
0,0.0
1,50.03471393829377
2,109.93608124857775
3,171.47787956170956
4,243.14634409734924
5,326.2246312166646
6,494.51680468178034
7,752.3083970640602
8,1985.6760295951685
9,3990.3748134444863
10,7202.632656021473
